level,title,difficulty,url
20,ΣmbryØ,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=l35I/zKkLK26UNdS2CElOQ%3D%3D
20,*Feels Seasickness...*,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=kzZNbPjdHPjorP63Kb2tIg%3D%3D
20,FIN4LE ～終止線の彼方へ～,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=Z0lCarVBxYgbwbxCKjO/uA%3D%3D
20,HE4VEN ～天国へようこそ～,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=sPkzWQIpN09LpwQcI3RyQA%3D%3D
20,I,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=IcSSON0P%2BWZ1aQrTPfJdaw%3D%3D
20,iLLness LiLin,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=oHww%2BHnIgYXOJ/mMmr5YkQ%3D%3D
20,WHITEOUT,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=7gCE6qGaJxmM0lw9QJvewA%3D%3D
20,Xroniè,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=nH7%2BIJvjX9HC6%2BU4xmbG9w%3D%3D
20,Lachryma《Re:Queen'M》,GRV,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=3&id=tdyzpFZ8IEHZ21F6I4NbUg%3D%3D
19,TENKAICHI ULTIMATE BOSSRUSH MEDLEY,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=6xRSfjrwRERG8LNELlaxpw%3D%3D
19,THE凸GENERATOR,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=Bpa7TMlFPnvFIP2ccRmN%2FQ%3D%3D
19,A Lasting Promise,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=fyipq3kOs/d0wXRfx63cCQ%3D%3D
19,Absolute Domination,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=57oujD6JqAqZ8EKm0H0GXQ%3D%3D
19,Awakening,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=UsDkYMyJdYYtS9QPBZN5Tw%3D%3D
19,BELOBOG,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=f2WkgNIeYKkPbcHqxx8cgw%3D%3D
19,Chrono Diver -PENDULUMs-,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=pWzhMrX8I5JWAo1KwFHOig%3D%3D
19,Cross Fire,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=FlGXVgu%2B5Je15ZomMYyppg%3D%3D
19,Deadly force,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=6qAUazNHLt1KyxYWiO1Aqw%3D%3D
19,Dyscontrolled Galaxy,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=HloPqzgQKLyGz%2BdJZGcm4w%3D%3D
19,Elemental Creation,MXM,https://p.eagate.573.jp/game/sdvx/v/p/ranking/ranking.html?type=4&id=bnurWuMIiM6e2rkjmZ6K1A%3D%3D
